SP,F_N_N,F_S_N,F_N_S,F_S_S,F_N_R,F_S_R,P_S_X,N_S_N,C
AST,1430,1431,1426,1427,14308,1432,1429,1437,1441
CHA,1708,1703,1717,1706,1720,1710,1706,1747,1780
CRY,1187,1185,1186,1185,1185,1184,1183,1184,1189
EUG,1005,1003,1002,1002,996,995,999,999,1011
GUI,1268,1272,1269,1273,1271,1272,1272,1271,1273
GYM,1269,1260,1269,1260,1266,1264,1260,1282,1279
LEP,1115,1109,1113,1111,1113,1112,1109,1131,1130
NIT,1564,1545,1557,1546,1561,1546,1543,1541,1577
PRP,1128,1129,1129,1130,1121,1121,1127,1151,1155
PSE,1571,1566,1569,1569,1569,1569,1565,1584,1581
RHI,894,893,894,894,893,893,892,891,894
SKE,804,811,806,806,808,810,810,808,810
